id,source,url,headline,abstract,img_url,publish_time
qbitai_news|423213,qbitai_news,https://www.qbitai.com/2026/05/423213.html,什么！你说胡彦斌也在苦修Vibe Coding,Vibe Coding还是太权威了vibe,https://www.qbitai.com/wp-content/uploads/2026/05/efb19c55e338ccf590fb76a8a207dec2.jpeg,2026-05-24 12:53:32
x_tweets|2058242823930163311,x_tweets,https://x.com/garrytan/status/2058242823930163311,GBrain is SOTA retrieval for agents and free for your use. MIT license. It currently is designed for OpenClaw and Hermes Agent but it does have full MCP server support that lets you use it with almost any agent harness. https://t.co/yFpFU4pn5b,,,2026-05-24 01:45:04
x_tweets|2058242822281805984,x_tweets,https://x.com/garrytan/status/2058242822281805984,"This has sort of been the story of how gbrain has gotten better. As I use it for my 100K+ personal and company brains, I am improving the underlying retrieval to fit what my agents ask for. I thought I would top out on improvements but every week I see something new. https://t.co/VhaJ7ePgB7",,https://pbs.twimg.com/media/HJBYhhkasAAz9fx.jpg,2026-05-24 01:45:03
x_tweets|2058242820188893210,x_tweets,https://x.com/garrytan/status/2058242820188893210,The latest version of GBrain doesn't just do basic retrieval. It now can do synthesized answers to the specific questions you're looking for. Here's an AB test of gbrain search vs gbrain think GBrain gets better every single day. https://t.co/8FLBXiM994,,https://pbs.twimg.com/media/HJBYIsxbYAAiqMw.jpg,2026-05-24 01:45:03
x_tweets|2058241640850919861,x_tweets,https://x.com/amasad/status/2058241640850919861,"RT @ahorne: Excited about this one, and @Replit, thanks for the tools to make it happen.",,,2026-05-24 01:40:22
x_tweets|2058240758801420530,x_tweets,https://x.com/steipete/status/2058240758801420530,"I built an autotriage skill for codex that has a set of guidelines + reads VISION.md from my repos, so issues/prs that have a clear way of - fit vision of the project - being inferrable in code with high confidence - clear fix - can be live tested Are now worked on autonomously. Codex can use a VM + computer vision (via https://t.co/2T5aNF5jTT , new parallels backend) to verify fixes, so it can work without interrupting me. I manually review suggestions. Since it was tedious to type in issues, I added an issue browser into https://t.co/NfEoHIQPil that parses common clipboard formats by codex so I can click through them conveniently.",,https://pbs.twimg.com/media/HJBVs5aXcAAPoyr.jpg,2026-05-24 01:36:51
x_tweets|2058233900464238801,x_tweets,https://x.com/adityaag/status/2058233900464238801,Can you imagine that we lived in a world 6 months (Nov 2025) ago when we would mostly just chat with LLMs and would be so happy about AI?? It's May 2026 and these LLMs now have produced more code than we have written over all time.,,,2026-05-24 01:09:36
x_tweets|2058224646596468891,x_tweets,https://x.com/danshipper/status/2058224646596468891,RT @levie: This is a fantastic post about why jobs aren’t going away in the way some predict. We are constantly making the mistake of confu…,,,2026-05-24 00:32:50
x_tweets|2058223867815227756,x_tweets,https://x.com/levie/status/2058223867815227756,"This is a fantastic post about why jobs aren’t going away in the way some predict. We are constantly making the mistake of confusing task completion with AI with being able to eliminate the whole job. Even as we can automate one or many tasks within a job, the definition of the job almost inevitably just expands to do vastly more of those tasks, do them at a higher quality, or move on to the type of task that hasn’t been automated yet. And as a result of being able to do more of the tasks or at a higher quality level, the job becomes valuable in a new way. And in many cases for now an entirely new audience as well. This will be true for coding, legal work, sales, or marketing. The small business or non-tech company that wants to now take on larger software projects finally can, and they’ll hire to do so. The small business that couldn’t afford a full marketing agency can hire or contract out to a marketer that can do as much as an agency did before now with agents. And so on. Don’t fall into the trap of confusing tasks with jobs.",,,2026-05-24 00:29:44
x_tweets|2058220184532300177,x_tweets,https://x.com/danshipper/status/2058220184532300177,RT @kyritzb: ngl I haven't ever worked more in my life even though the work got way easier &amp; get easily get more done. Ambition and capabil…,,,2026-05-24 00:15:06
x_tweets|2058217275153355194,x_tweets,https://x.com/steipete/status/2058217275153355194,RT @badlogicgames: found @steipete 's final form https://t.co/8nC6YlEO6L,,https://pbs.twimg.com/media/HJARlwoXkAAlS7z.jpg,2026-05-24 00:03:32
x_tweets|2058203594672021769,x_tweets,https://x.com/nikunj/status/2058203594672021769,"Wrote this almost a year ago, and finally starting to see more B2B companies wake up to this opportunity.. Don’t wait another year. Narratives and vibes are extremely important to stand out amongst the slop 🪄",,,2026-05-23 23:09:11
x_tweets|2058200896375501089,x_tweets,https://x.com/garrytan/status/2058200896375501089,RT @demishassabis: @garrytan great to hear that Gemini Live is working so well for you! Awesome to see what you are doing with it! cc @josh…,,,2026-05-23 22:58:27
x_tweets|2058190873758990673,x_tweets,https://x.com/garrytan/status/2058190873758990673,"Bob McGrew has a framework I keep thinking about: in the AI future there are only two jobs. The Lone Genius and the Manager. That's it. Everything else gets absorbed. The Lone Genius is the person sitting alone at a computer, amplified 1000x by AI. One person with taste, vision, and relentless focus who can now do what used to take a team of 50. The Manager is the person who becomes CEO of their own ""firm"" where most of the employees are AI agents. They define the goals. They decide what matters. They coordinate. The AI does the execution. The Marxists will hear ""two jobs"" and panic. ""What about everyone else?!"" But here's what they're missing: AI doesn't shrink these two categories. It explodes them open. More people get to be geniuses. More people get to be managers. The barrier to entry for both just collapsed. What actually gets eliminated? David Graeber called them ""bullshit jobs."" Graeber was no libertarian! He inspired Occupy Wall Street. His words: ""Huge swaths of people spend their entire working lives performing tasks they secretly believe don't really need to be performed. The moral and spiritual damage that comes from this situation is profound. It is a scar across our collective soul."" Graeber said bullshit jobs are ""a form of spiritual violence directed at the essence of what it means to be a human being."" They induce ""hopelessness, depression, and self-loathing."" This is who the left should be fighting for. Not to preserve those jobs. To liberate people from them and give them better ones. The dirty secret of the modern economy: millions of people sit in roles so pointless that even they can't justify their existence. Compliance layers. Reporting layers. Coordination layers. Meeting-about-the-meeting layers. They know it's meaningless. It eats them alive. AI eats those layers. Good. That's a jailbreak. What I love about Bob's framework is where it points. The Lone Genius used to require a PhD, a lab, institutional backing. Now a 19-year-old with taste and Codex can ship what took a research team a year. The genius bottleneck was never talent. It was access. The Manager used to mean you needed to hire 50 people, raise money, build an org chart. Now you can orchestrate a fleet of AI agents from your laptop. The management bottleneck was never skill. It was capital. AI doesn't concentrate genius and management into fewer hands. It distributes them into more hands. The working class kid in West Virginia. The single mom in Ohio. The 55-year-old who got laid off and now builds software for the first time. Those are some of Bob's future geniuses and managers. The best founders I see at YC are already living this. They toggle between both modes in the same day. Morning: lone genius, creative insight, the thing nobody else sees. Afternoon: manager, spinning up agents, steering, shipping. The cycle time between genius and manager IS the new productivity metric. So when someone tells you AI means ""only two jobs and everyone else starves,"" quote Graeber to them, they’ll get it. Graeber knew the real violence was making people do meaningless work and pretending it was dignity. AI ends that. More genius. More agency. Fewer spiritual prisons.",,,2026-05-23 22:18:38
techcrunch_news|3125548,techcrunch_news,https://techcrunch.com/2026/05/23/ferrari-is-using-ai-to-create-f1-superfans,Ferrari is using IBM's AI to create F1 superfans,IBM and Scuderia Ferrari HP take TechCrunch inside how they are redefining the fan experience.,https://techcrunch.com/wp-content/uploads/2026/05/01-bxd-ferrari-xg-photography-v2.jpg,2026-05-23 16:08:00
